time_ps,raw_2d_generation_integral,ratio_to_100ps,trapezoid_charge_pc
92,2.46137697009e26,2.54117768393e-5,NA
94,5.4275231708e28,0.00560348980601,0.00873528641144
96,8.03510789775e29,0.0829561547291,0.137432472059
97,2.14022562804e30,0.220961424058,0.235819285264
98,5.5839006944e30,0.576493727142,0.618770735594
99,8.32742594396e30,0.859741081131,1.1144201244
99.5,9.32954469396e30,0.963201942068,0.707239644582
100,9.68596956307e30,1,0.761655315653
100.2,9.67387973872e30,0.998751820944,0.310178981891
100.5,9.44687132064e30,0.975314991352,0.459522308578
101,8.65555955017e30,0.893618289198,0.725082293995
102,6.17065067179e30,0.637071036783,1.18771037942
103,4.46183913785e30,0.460649716974,0.851756336712
104,2.14022562804e30,0.220961424058,0.528883695203
106,2.36080126745e29,0.0243734119964,0.380726155556
108,9.76222703797e27,0.00100787298312,0.0393882874879
SUMMARY,NA,NA,8.0673213028
NOMINAL,NA,NA,7.775
RELATIVE_ERROR,NA,NA,0.0375975952157
CLOSURE,NA,NA,PASS