tuning_id,case_id,parent_run_id,parameter,old_value,new_value,allowed_by_plan,trigger_evidence,hypothesis,expected_effect,actual_effect,status_before,status_after,accepted
T0001,S00_v100_let10_y3p5,S00_v100_let10_y3p5__attempt01,snapshot_schedule,pre/final only,100ps/100.2ps/102ps/400ps,true,HeavyIonGeneration field present but max=0 in saved post-pulse TDR,Saving in-transient states will capture the finite Gaussian generation pulse,Produce nonzero HeavyIonGeneration evidence,Generation max 6.8313e29 cm-3 s-1 at 100.2 ps; track spans depth 0-49.08 um at Y=3.5 um,SMOKE_PARTIAL,SMOKE_VALID,true
T0002,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt01,execution_and_time_segmentation,single_thread plus point TurningPoint,8_threads plus 98-102ps max_step_2e-13,true,Attempt01 reached only 33.74ns in about 32min and point TurningPoint did not bound the full pulse window,Restarting from converged pre-strike state and enforcing a segmented pulse window preserves physics while reducing wasted ramp time,Reach 1us with auditable 0.2ps pulse-window steps,Failed because Plot TDR is not a valid restart state,INDETERMINATE,INDETERMINATE,false
T0003,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt02,restart_and_dc_step,Plot_TDR_restart plus no ramp,original_mesh_ramp MaxStep_0.05 plus Save_restart,true,Attempt02 produced nonphysical initial state because ordinary Plot TDR lost species and solution consistency,A normal ramp from the original mesh with a larger already-proven baseline step avoids invalid restart while 8 threads reduces wall time,Reach valid 2500V state then 1us transient and create true restart,Actual VCE 2500V and true restart created; 8 threads caused negative scaling and run reached only 59.58ns,INDETERMINATE,INDETERMINATE,true
T0004,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt03,restart_and_thread_count,full_ramp plus 8_threads,true_Save_Load plus 1_thread,true,Attempt03 created valid bias2500 Save files but 8-thread transient steps approached 38s wall time,Loading the exact converged state removes repeated DC work while single-thread execution avoids demonstrated parallel overhead,Start directly at valid 2500V and extend transient farther per unit wall time,Reached 81.933ns in 14861s; 876 retries; stopped stiff with no physical break,INDETERMINATE,INDETERMINATE,true
T0005,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt04,output_and_checkpoint_schedule,postpulse snapshots,92-108ps segmented audit plus 0.4/10/20/40ns true Saves,true,Attempt04 lacked a complete generation pulse integral and recoverable transient checkpoints,Unique segmented outputs close the charge integral and solver-native Saves remove repeated prefix work,Close HeavyIon charge within 5pct and establish 40ns benchmark restart,Charge 8.067321pC vs 7.775pC plus3.7598pct PASS; 40ns Save created,INDETERMINATE,INDETERMINATE,true
T0006,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt07_A40_60,Iterations,25,15,true,Official solver guidance suggests failing nonconvergent steps earlier may reduce wasted iterations,Lower iteration cap may reduce wall time while preserving the solution,At least 10pct faster with core quantities within 2pct,Physically equivalent but wall time rose from 817s to 1037s and retries from 8 to 12,INDETERMINATE,INDETERMINATE,false
T0007,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt08_B1_40_60,Increment,1.4,1.2,true,B1 showed more retries and official guidance recommends Increment below Decrement,A smaller growth factor may avoid large failed trial steps,At least 10pct faster than parent with equivalent physics,Only reached 51.746ns in 1200s budget; rejected,INDETERMINATE,INDETERMINATE,false
T0008,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt07_A40_60,Transient Extrapolate,on,off,true,Fast positive-feedback transients can be destabilized by extrapolated initial guesses,Disabling extrapolation may reduce retries without changing physics,At least 10pct faster with equivalent trend,Completed in 749.94s with 6 retries but improvement was only 8.2pct; rejected,INDETERMINATE,INDETERMINATE,false
T0009,A01_v2500_let15_y3p5,NA,SEBTrackCore_mesh_step,0.2/0.025/0.02/0.005_um,0.1/0.0125/0.01/0.0025_um,true,Numerical A/B gate closed and R2.5 preregistered core-only half-step sensitivity opened,A new mesh needs a fresh 2500V normal DC true Save before comparable transient states,Generate new-mesh DC bias then 10/40/50/60ns paired transient,1200s DC ramp stopped at 22.17V Tmax300.013K with no Save; transient not entered,INDETERMINATE,INDETERMINATE,false
T0010,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,dc_checkpoint_schedule,single_0-2500V_ramp,100/500/1000/1500/2000/2500V_Saves,true,attempt12 lost progress before any Save,same-mesh staged Save/Load preserves DC progress,reach2500V or retain highest checkpoint,attempt13 retained500V; attempt17 reached2500V,INDETERMINATE,DC_BIAS_VALID,true
T0011,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt17_meshhalf_dc_from500,SEBTrackCore_mesh_step,baseline,half_step_core,true,preregistered mesh sensitivity gate,late current and avalanche should converge,comparable10/40/50/60ns states,50/60ns current -6.19/-15.23pct; local avalanche diverged,INDETERMINATE,INDETERMINATE(mesh_sensitive),false
T0012,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt07_A40_60,Wt_hi,0.1_um,0.2_um,true,radial width undisclosed,broader deposition may weaken local feedback,distinguish amplitude sensitivity from trend reversal,charge PASS;60ns current -18.61pct; growth remained,ANCHOR_MISMATCH,ANCHOR_MISMATCH,false
T0013,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,Wt_hi,0.2_um,0.5_um,true,Wt0.2 had bounded effect,wider radius may reverse growth,bound width range,charge PASS; nearly matched0.2um and still grew,ANCHOR_MISMATCH,ANCHOR_MISMATCH,false
T0014,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt05,initial_thermal_state,324.6K_steady,300K_cold_nonsteady,true,paper curves start near300K,preheat may lower threshold,cold state weakens growth if preheat is primary,60ns current +6.89pct; growth remained,ANCHOR_MISMATCH,ANCHOR_MISMATCH,false
T0015,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt07_A40_60,local_track_position,Y3.5_um,Y3.4/Y3.6_um,true,paper location is graphical and center is locally sensitive,small symmetric offsets may reveal a local trigger,bound local response without formal scan,both offsets lowered60ns current about18pct; all still grew,ANCHOR_MISMATCH,ANCHOR_MISMATCH,false
T0016,A01_v2500_let15_y3p5,A01_v2500_let15_y3p5__attempt13_meshhalf_dcbench_t1,thread_count,1,2/4,true,half-step mesh DC ramp was expensive,additional threads might reduce wall time per converged voltage,at least10pct lower wall time with equivalent trajectory,all probes stopped at0.3125V after300s; 2/4 threads used more CPU without progress gain,INDETERMINATE,INDETERMINATE,false
