event_id,attempt_id,run_id,artifact_id,sha256,claim_id,link_role,public_access,provenance_note
E0007,attempt02,NA,ART0002,3ee4626732fe47ab49b0d0e2a550aee263b337fba4af28164fe37c3f663f6ded,C02,smoke_generation_evidence,public,源manifest公开图
E0011,attempt02,NA,NA,41311b0329fb0f7f0b5c81007063aa5da20ee9f69d912fa79b276c31392b69a5,C03,negative_restart_attempt,restricted,deck哈希来自case_summary;日志受限
E0014,attempt04,NA,ART0003,91315014547942d3b84c9088fbb70f1072ef54832599981f5ec45e5665de7c4e,C05,partial_transient_evidence,public,公开图不替代受限原始场
E0020,attempt11_input_audit_full_segmented,NA,ART0009,945e536ea7dacc1112ebcdc57b9412096c95abf6706b16516d97711e94c62757,C01,charge_audit_dataset,public,源CSV公开
E0025,attempt07_A40_60,NA,ART0010,5e80686f4f527b67219963e9ce4e8207a27b2324df4748bc20c938a168fd215d,C04,solver_benchmark_dataset,public,源CSV公开
E0031,attempt18_meshhalf_transient_to60,DIAGNOSTIC_CLOSURE--A01_v2500_let15_y3p5--attempt18_meshhalf_transient_to60--legacy,ART0012,4dc94c9ce8df1309763777e186eafdbfbe2568ce6a128aa0dc5092ddddc1d5ee,C05,mesh_gate_dataset,public,run_id仅legacy记录
E0040,attempt18_meshhalf_transient_to60,DIAGNOSTIC_CLOSURE--A01_v2500_let15_y3p5--attempt18_meshhalf_transient_to60--legacy,ART0017,79fa71fb7de3bfd47f8191f7d627856c81daec273b25ae5688fb1c3304d37739,C05,three_field_closure,public,源CSV公开
NA,NA,NA,NA,NA,C06,case_acceptance,public,7月14 data/case_acceptance.csv；7个IGBT行为正式主案，MOSFET行仅作附录；未发布逐run artifact表
NA,NA,NA,NA,NA,C07,sidecar_figure_provenance,restricted,数值图来自受限sidecar;报告说明来源
NA,NA,NA,NA,NA,C08,svisual_render_provenance,restricted,真实空间场TDR与元数据受限
NA,NA,NA,NA,NA,C09,resource_policy,public,代码与policy可读;逐run lease账本未公开