claim_id,claim_text,stage_id,evidence_level,status,scope,prohibited_extrapolation,current_gap
C01,有界工作流可保存事件-尝试-产物-哈希的审计链,ST11,A,支持,2026-07-11 单案例公开账本,不可推为第三方已独立复算,原始受限产物未公开
C02,smoke 输出时间表修复后获得有效轨迹生成率证据,ST11,A,支持,S00 attempt02,不可推为 SEB 分类或普适输出规则,仅一个 smoke 条件
C03,普通 Plot TDR 不能替代 solver-native Save/Load restart,ST11,A,支持,该 Sentaurus 版本与该状态链,不可推为所有工具版本的定律,无跨版本复测
C04,40-60 ns 的三个数值候选均未越过预设 10% 性能门,ST11,A,支持,A01 固定网格/区间/单线程比较,不可推为任何求解器参数都无效,仅三候选且单次比较
C05,A01 最终为 INDETERMINATE、ANCHOR_MISMATCH、MESH_SENSITIVE,ST11,A,支持,2500 V LET15 Y3.5um 及其有界诊断,不得写作 SEB/NO_SEB/复现成功,未覆盖1us且网格门失败
C06,7个7月14日IGBT主案例的DC重启和2.1ns sidecar验收均通过；MOSFET另作附录,ST14_IGBT,A,支持,冻结历史匹配结构与列明工况,不得推为SEB阈值、TID结论或商用品泛化,仅固定二维模型和短时间窗
C07,7月14日数值比较图来自sidecar数值而非截图,ST14,A,支持,已发布2.1ns比较图与其侧车数据,不得把数值图称为空间场,原始侧车在受限运行目录
C08,匹配对照中MOSFET热点到界面的数值距离大于IGBT,ST14,A,支持,298.15K/550V/LET15冻结匹配模型,不得推为所有MOSFET热点更远,空间场不是距离证据本身
C09,租约与affinity由执行包装器设计为可记录字段,ENV,B,部分支持,脚本和核心策略定义的机制,不得写为7月11或7月14全部运行已审计合规,本包无逐run公开租约账本
C10,研究者保留策略批准、物理解释和最终责任,ST11,B,支持,预注册边界与1次范围决策记录,不得描述为无人参与,完整研究者决策时间线未公开
C11,没有可靠完整token或tool-call计数,ST11,A,支持,7月11研究记录,不得估算或比较模型效率,需要受控遥测采集
C12,不存在人工基线或重复实验对照,ST11,A,支持,研究记录明确缺失,不得声称AI优于人工或统计稳定性,需预注册对照研究
C13,2026-07-14 生产交付可准确概括为7个IGBT四温度/多偏压案例跑通且局部网格门通过,ST14_IGBT,A,支持,固定历史匹配二维结构；298.15 K/550 V baseline与一次track-refined网格,不得写严格全局收敛、普适阈值或商用650 V证明,仅一次局部网格门与短2.1 ns窗口
C14,低LET支线只提供诊断性序列与网格敏感性信息,ST13,A,支持,VCE=2500 V、y=3.5 um、60 ns既有数据复盘,不得写SEB阈值、热因果或普适机制,单次轨迹/固定网格
C15,650 V redesign截至2026-07-15仍未完成,ST15,A,支持,独立结构参数与case schema已建但无有效静态或HeavyIon数值,不得以旧451.15 um结构代替商用650 V证据,等待新结构网格与校准